Player,Position,Squad,Current age,Club,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
Alisson,GK,br Brazil,29,1.eng Liverpool,1992,4,4,379,4.2,2,0.47,7,5,71.4,3,1,0,2,50.0,0,0,0,0,
Lawrence Ati-Zigi,GK,gh Ghana,25,1.ch St. Gallen,1996,3,3,270,3.0,7,2.33,17,10,64.7,1,0,2,0,0.0,1,1,0,0,0.0
Meshaal Barsham,GK,qa Qatar,24,1.qa Al Sadd SC,1998,2,2,180,2.0,5,2.50,9,4,44.4,0,0,2,0,0.0,0,0,0,0,
Alireza Beiranvand,GK,ir IR Iran,29,1.ir Persepolis,1992,2,2,109,1.2,1,0.83,5,4,80.0,0,0,1,0,0.0,0,0,0,0,
Milan Borjan,GK,ca Canada,34,1.rs Red Star,1987,3,3,270,3.0,7,2.33,15,8,53.3,0,0,3,0,0.0,0,0,0,0,
Yassine Bounou,GK,ma Morocco,31,1.es Sevilla,1991,6,6,570,6.3,5,0.79,11,7,54.5,2,2,2,3,50.0,0,0,0,0,
Diogo Costa,GK,pt Portugal,22,1.pt Porto,1999,5,5,450,5.0,6,1.20,17,11,64.7,3,0,2,1,20.0,0,0,0,0,
Thibaut Courtois,GK,be Belgium,30,1.es Real Madrid,1992,3,3,270,3.0,2,0.67,11,8,81.8,1,1,1,2,66.7,1,0,1,0,100.0
Aimen Dahmen,GK,tn Tunisia,25,1.tn CS Sfaxien,1997,3,3,270,3.0,1,0.33,10,9,90.0,1,1,1,2,66.7,0,0,0,0,
Ederson,GK,br Brazil,28,1.eng Manchester City,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Devis Epassy,GK,cm Cameroon,29,1.sa Abha,1993,2,2,180,2.0,3,1.50,12,9,75.0,1,1,0,1,50.0,0,0,0,0,
Hernán Galíndez,GK,ec Ecuador,35,1.ec SD Aucas,1987,3,3,270,3.0,3,1.00,4,1,50.0,1,1,1,1,33.3,1,1,0,0,0.0
Shūichi Gonda,GK,jp Japan,33,1.jp S-Pulse,1989,4,4,390,4.3,4,0.92,19,15,84.2,2,1,1,0,0.0,1,1,0,0,0.0
Wayne Hennessey,GK,wls Wales,35,1.eng Nott'ham Forest,1987,2,2,175,1.9,1,0.51,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
Hossein Hosseini,GK,ir IR Iran,29,1.ir Esteghlal,1992,2,1,161,1.8,6,3.35,10,4,40.0,1,0,0,1,100.0,0,0,0,0,
Gregor Kobel,GK,ch Switzerland,24,1.de Dortmund,1997,1,1,90,1.0,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,
Dominik Livaković,GK,hr Croatia,27,1.hr Dinamo Zagreb,1995,7,7,690,7.7,7,0.91,31,24,80.6,2,4,1,2,28.6,1,1,0,0,0.0
Hugo Lloris,GK,fr France,35,1.eng Tottenham,1986,6,6,570,6.3,7,1.11,24,17,83.3,5,1,0,1,16.7,4,3,0,1,0.0
Steve Mandanda,GK,fr France,37,1.fr Rennes,1985,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Emiliano Martínez,GK,ar Argentina,29,1.eng Aston Villa,1992,7,7,690,7.7,8,1.04,13,6,53.8,4,2,1,3,42.9,2,2,0,0,0.0
Edouard Mendy,GK,sn Senegal,30,1.eng Chelsea,1992,4,4,360,4.0,7,1.75,14,7,50.0,2,0,2,0,0.0,0,0,0,0,
Vanja Milinković-Savić,GK,rs Serbia,25,1.it Torino,1997,3,3,270,3.0,8,2.67,24,16,66.7,0,1,2,0,0.0,0,0,0,0,
Munir,GK,ma Morocco,33,1.sa Al-Wehda,1989,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
Keylor Navas,GK,cr Costa Rica,35,1.fr Paris S-G,1986,3,3,270,3.0,11,3.67,22,11,54.5,1,0,2,1,33.3,1,1,0,0,0.0
Manuel Neuer,GK,de Germany,36,1.de Bayern Munich,1986,3,3,270,3.0,5,1.67,13,8,61.5,1,1,1,0,0.0,0,0,0,0,
Andries Noppert,GK,nl Netherlands,28,1.nl Heerenveen,1994,5,5,480,5.3,4,0.75,22,18,86.4,3,2,0,2,40.0,1,1,0,0,0.0
Guillermo Ochoa,GK,mx Mexico,36,1.mx América,1985,3,3,270,3.0,3,1.00,6,2,50.0,1,1,1,1,33.3,1,0,1,0,100.0
André Onana,GK,cm Cameroon,26,1.it Inter,1996,1,1,80,0.9,1,1.13,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Mohammed Al-Owais,GK,sa Saudi Arabia,30,1.sa Al-Hilal,1991,3,3,270,3.0,5,1.67,19,14,78.9,1,0,2,0,0.0,1,1,0,0,0.0
Jordan Pickford,GK,eng England,28,1.eng Everton,1994,5,5,450,5.0,4,0.80,11,7,72.7,3,1,1,3,60.0,1,1,0,0,0.0
Sergio Rochet,GK,uy Uruguay,29,1.uy Nacional,1993,3,3,270,3.0,2,0.67,7,4,85.7,1,1,1,2,66.7,2,1,1,0,50.0
Mathew Ryan,GK,au Australia,30,1.dk FC Copenhagen,1992,4,4,360,4.0,6,1.50,18,12,66.7,2,0,2,2,50.0,0,0,0,0,
Kasper Schmeichel,GK,dk Denmark,35,1.fr Nice,1986,3,3,270,3.0,3,1.00,11,8,72.7,0,1,2,1,33.3,0,0,0,0,
Kim Seung-gyu,GK,kr Korea Republic,31,1.sa Al-Shabab,1990,4,4,360,4.0,8,2.00,19,11,63.2,1,1,2,1,25.0,1,1,0,0,0.0
Saad Al Sheeb,GK,qa Qatar,32,1.qa Al Sadd SC,1990,1,1,90,1.0,2,2.00,3,1,66.7,0,0,1,0,0.0,1,1,0,0,0.0
Unai Simón,GK,es Spain,25,1.es Athletic Club,1997,4,4,390,4.3,3,0.69,9,6,66.7,1,2,1,2,50.0,0,0,0,0,
Yann Sommer,GK,ch Switzerland,33,1.de M'Gladbach,1988,3,3,270,3.0,7,2.33,19,12,63.2,1,0,2,1,33.3,0,0,0,0,
Wojciech Szczęsny,GK,pl Poland,32,1.it Juventus,1990,4,4,360,4.0,5,1.25,28,21,82.1,1,1,2,2,50.0,2,0,2,0,100.0
Matt Turner,GK,us United States,27,1.eng Arsenal,1994,4,4,360,4.0,4,1.00,12,8,75.0,1,2,1,2,50.0,1,1,0,0,0.0
Danny Ward,GK,wls Wales,28,1.eng Leicester City,1993,2,1,94,1.0,5,4.79,9,4,44.4,0,0,1,0,0.0,0,0,0,0,
Wéverton,GK,br Brazil,34,1.br Palmeiras,1987,1,0,11,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
